video başlığı,YouTube URL,video ID,kanal,tarih,dil,altyazı türü,TXT dosyası
"""Muhterem Hocaefendi: 10la 100le 1000le..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=Yl7SeU8nOO8,Yl7SeU8nOO8,Nur Neva ,2024-01-16,tr,otomatik,353_Muhterem_Hocaefendi_10la_100le_1000le..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Öyle Zaman Gelir ki..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=3FLww-K7Fvk,3FLww-K7Fvk,Nur Neva ,2024-01-16,tr,otomatik,354_Muhterem_Hocaefendi_Öyle_Zaman_Gelir_ki..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Manen Gördüm..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=06GXTV0Ywk8,06GXTV0Ywk8,Nur Neva ,2024-01-16,tr,otomatik,355_Muhterem_Hocaefendi_Manen_Gördüm..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Darmanduman Olurlardı..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=U5-HHupyBok,U5-HHupyBok,Nur Neva ,2024-01-16,tr,otomatik,356_Muhterem_Hocaefendi_Darmanduman_Olurlardı..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Yaşadığımız Sıkıntıların 10 Katını..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=Q65tfccFD70,Q65tfccFD70,Nur Neva ,2024-01-16,tr,otomatik,357_Muhterem_Hocaefendi_Yaşadığımız_Sıkıntıların_10_Katını..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Görsenizki Dağ Kadar..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=1nUJWZWuMKM,1nUJWZWuMKM,Nur Neva ,2024-01-16,tr,otomatik,358_Muhterem_Hocaefendi_Görsenizki_Dağ_Kadar..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Arkadaşlarımızın Kıymetini Bilebilsek..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=4AaaMI6zJTA,4AaaMI6zJTA,Nur Neva ,2024-01-16,tr,otomatik,359_Muhterem_Hocaefendi_Arkadaşlarımızın_Kıymetini_Bilebilsek..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Eğer Allah Sizi..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=sVLcoiv5k7k,sVLcoiv5k7k,Nur Neva ,2024-01-16,tr,otomatik,360_Muhterem_Hocaefendi_Eğer_Allah_Sizi..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Ya Fethi!..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=LGTMhrxCiO4,LGTMhrxCiO4,Nur Neva ,2024-01-16,tr,otomatik,361_Muhterem_Hocaefendi_Ya_Fethi!..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Bizler 3. Sınıf..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=JUS9I0Mz0t4,JUS9I0Mz0t4,Nur Neva ,2024-01-16,tr,otomatik,362_Muhterem_Hocaefendi_Bizler_3._Sınıf..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Günümün Yarısını..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=G-Aay7yLNe4,G-Aay7yLNe4,Nur Neva ,2024-01-16,tr,otomatik,363_Muhterem_Hocaefendi_Günümün_Yarısını..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Bu Hizmet'ten Düşen Pay Herkesi Veli Yapmaya..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=0MY8qkCj_EY,0MY8qkCj_EY,Nur Neva ,2024-01-16,tr,otomatik,364_Muhterem_Hocaefendi_Bu_Hizmet'ten_Düşen_Pay_Herkesi_Veli_Yapmaya..._Mustafa_Yeşi.txt
"""Muhterem Hocaefendi: En Büyük Stratejimiz..."" - Mustafa Yeşil",https://www.youtube.com/watch?v=FMsfr92RXyk,FMsfr92RXyk,Nur Neva ,2024-01-16,tr,otomatik,365_Muhterem_Hocaefendi_En_Büyük_Stratejimiz..._Mustafa_Yeşil.txt
"""Muhterem Hocaefendi: Kardeşlerimiz... Hizmet'e Bir 100 Yıl Kazandırdılar"" - Mustafa Yeşil",https://www.youtube.com/watch?v=G3aDeiZc3qQ,G3aDeiZc3qQ,Nur Neva ,2024-01-15,tr,otomatik,366_Muhterem_Hocaefendi_Kardeşlerimiz..._Hizmet'e_Bir_100_Yıl_Kazandırdılar_Mustafa.txt
